ID,Business Unit ,Lat,Lng,Country,Code,item
7,Wireless New Products,34.1651457,-117.4178615,USA,ODC,Walker - RDC
7,Accessory New Products,34.1651457,-117.4178615,USA,ODC,Walker - RDC
6,Wireless New Products,34.0892863,-117.5847766,USA,RDC,Walker - RDC
6,Broadband and Linear Video New Products,34.0892863,-117.5847766,USA,RDC,Walker - RDC
7,Broadband and Linear Video New Products,34.1651457,-117.4178615,USA,ODC,Walker - ODC
5,Wireless New Products,39.6818484,-86.3895557,USA,IDC,Walker - IDC
5,ATT TV New Product,39.6818484,-86.3895557,USA,IDC,Walker - IDC
5,Broadband and Linear Video New Products,39.6818484,-86.3895557,USA,IDC,Walker - IDC
8,Broadband and Linear Video Refurb Products,41.7482,-86.33146,USA,SBD,SBD
8,Broadband and Linear Video New Products,41.7482,-86.33146,USA,SBD,SBD
6,Accessory New Products,34.0892863,-117.5847766,USA,RDC,Ingram - RDC
6,Broadband and Linear Video New Products,34.0892863,-117.5847766,USA,RDC,Ingram - RDC
6,Wireless New Products,34.0892863,-117.5847766,USA,RDC,Ingram - RDC
6,ATT TV New Product,34.0892863,-117.5847766,USA,RDC,Ingram - RDC
5,ATT TV New Product,39.6818484,-86.3895557,USA,IDC,Ingram - IDC
5,Accessory New Products,39.6818484,-86.3895557,USA,IDC,Ingram - IDC
5,Wireless New Products,39.6818484,-86.3895557,USA,IDC,Ingram - IDC
5,Broadband and Linear Video New Products,39.6818484,-86.3895557,USA,IDC,Ingram - IDC
4,Broadband and Linear Video New Products,40.01052039,-76.71564484,USA,PDC,Group O - PDC
4,Wireless New Products,40.01052039,-76.71564484,USA,PDC,Group O - PDC
2,Wireless New Products,32.9734791,-97.24837245,USA,FDC,Group O - FDC
2,Broadband and Linear Video New Products,32.9734791,-97.24837245,USA,FDC,Group O - FDC
4,Accessory New Products,40.01052039,-76.71564484,USA,PDC,FedEx - PDC
4,ATT TV New Product,40.01052039,-76.71564484,USA,PDC,FedEx - PDC
4,Wireless New Products,40.01052039,-76.71564484,USA,PDC,FedEx - PDC
4,Broadband and Linear Video New Products,40.01052039,-76.71564484,USA,PDC,FedEx - PDC
2,Accessory New Products,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,ATT TV New Product,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,Wireless New Products,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,Broadband and Linear Video New Products,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,Broadband and Linear Video Refurb Products,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,Digital Life New Products,32.9734791,-97.24837245,USA,FDC,FedEx - FDC
2,Accessory New Products,32.9734791,-97.24837245,USA,FDC,FedEx - ADS
1,Broadband and Linear Video New Products,33.00650062,-97.31457023,USA,EGL,EGL
7,ATT TV New Product,34.1651457,-117.4178615,USA,ODC,CTDI - RDC
7,Wireless New Products,34.1651457,-117.4178615,USA,ODC,CTDI - RDC
7,Accessory New Products,34.1651457,-117.4178615,USA,ODC,CTDI - RDC
7,Broadband and Linear Video New Products,34.1651457,-117.4178615,USA,ODC,CTDI - ODC
3,Accessory New Products,34.0234838,-84.5889198,USA,GAK,CTDI - GAK
3,Wireless New Products,34.0234838,-84.5889198,USA,GAK,CTDI - GAK
3,Wireless New Products,34.0880349,-83.9885428,USA,GAK,CTDI - GAB
3,Accessory New Products,34.0880349,-83.9885428,USA,GAK,CTDI - GAB
5,ATT TV New Product,39.6818484,-86.3895557,USA,IDC,CEVA - IDC
5,Accessory New Products,39.6818484,-86.3895557,USA,IDC,CEVA - IDC
5,Wireless New Products,39.6818484,-86.3895557,USA,IDC,CEVA - IDC
5,Broadband and Linear Video New Products,39.6818484,-86.3895557,USA,IDC,CEVA - IDC
44,Broadband and Linear Video New Products,35.000074,104.999927,China,CHN,XPC6U-11459 - PT Supply - PAT - BBV_NEW - Power and Telephone - RJ45 Cat 6 Data Cable
9,Broadband and Linear Video New Products,24.4769288,90.2934413,Bangladesh,BGD,XPC6U-11459 - PT Supply - PAT - BBV_NEW - Power and Telephone - RJ45 Cat 6 Data Cable
